Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Profit Status,Sales Category
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2.00,0.00,41.91,16.00,Profit,Low Sales
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3.00,0.00,219.58,30.00,Profit,High Sales
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2.00,0.00,6.87,47.00,Profit,Low Sales
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.58,5.00,0.45,-383.03,-40.00,Loss,High Sales
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.37,2.00,0.20,2.52,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7.00,0.00,14.17,29.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4.00,0.00,1.97,27.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.15,6.00,0.20,90.72,10.00,Profit,High Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.50,3.00,0.20,5.78,31.25,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.90,5.00,0.00,34.47,30.00,Profit,Low Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.18,9.00,0.20,85.31,5.00,Profit,High Sales
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.42,4.00,0.20,68.36,7.50,Profit,High Sales
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.55,3.00,0.20,5.44,35.00,Profit,Low Sales
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.98,3.00,0.20,132.59,32.50,Profit,Low Sales
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5.00,0.80,-123.86,-180.00,Loss,Low Sales
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.54,3.00,0.80,-3.82,-150.00,Loss,Low Sales
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6.00,0.00,13.32,2.00,Profit,High Sales
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.50,2.00,0.00,9.99,18.00,Profit,Low Sales
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2.00,0.00,2.48,29.00,Profit,Low Sales
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3.00,0.20,16.01,7.50,Profit,Low Sales
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4.00,0.20,7.38,32.50,Profit,Low Sales
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7.00,0.00,5.06,26.00,Profit,Low Sales
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7.00,0.00,15.69,26.00,Profit,Low Sales
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.37,2.00,0.30,-1.02,-1.43,Loss,Low Sales
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3.00,0.00,240.26,23.00,Profit,High Sales
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.65,2.00,0.20,4.22,36.25,Profit,Low Sales
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3.00,0.00,11.77,13.00,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7.00,0.50,-1665.05,-54.00,Loss,High Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.62,2.00,0.70,-7.05,-73.33,Loss,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.20,3.00,0.20,15.53,12.50,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.26,2.00,0.20,1.10,33.75,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.30,6.00,0.20,9.71,11.25,Profit,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.86,6.00,0.70,-5.72,-83.33,Loss,Low Sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2.00,0.20,3.55,22.50,Profit,Low Sales
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.47,3.00,0.20,9.95,33.75,Profit,Low Sales
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.54,7.00,0.20,123.47,11.25,Profit,High Sales
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5.00,0.60,-147.96,-77.50,Loss,Low Sales
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.33,9.00,0.20,35.42,31.25,Profit,Low Sales
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.40,3.00,0.32,-46.98,-8.82,Loss,High Sales
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.06,3.00,0.30,-15.15,-7.14,Loss,Low Sales
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.17,4.00,0.20,41.76,11.25,Profit,Low Sales
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.17,4.00,0.20,16.56,11.25,Profit,Low Sales
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2.00,0.00,3.89,5.00,Profit,Low Sales
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.62,2.00,0.20,9.56,10.00,Profit,Low Sales
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2.00,0.00,19.77,43.00,Profit,Low Sales
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2.00,0.00,8.21,47.00,Profit,Low Sales
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4.00,0.00,8.48,4.00,Profit,Low Sales
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.00,3.00,0.00,4.95,11.00,Profit,Low Sales
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.80,2.00,0.00,6.10,28.00,Profit,Low Sales
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6.00,0.00,17.96,47.00,Profit,Low Sales
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6.00,0.00,35.33,47.00,Profit,Low Sales
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2.00,0.00,2.96,48.00,Profit,Low Sales
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1.00,0.00,17.10,19.00,Profit,Low Sales
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7.00,0.00,6.26,41.00,Profit,Low Sales
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5.00,0.00,298.69,29.00,Profit,High Sales
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6.00,0.00,52.14,25.00,Profit,Low Sales
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.40,5.00,0.00,15.55,48.00,Profit,Low Sales
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5.00,0.10,7.10,2.22,Profit,Low Sales
